,Unnamed: 0,_id,text,tags,definitions,technical_instruction_for_dev,sap_products,content_relevant_to_technical_risks,cost_information,risk_for_gl,support_information,marked,is_priority_statement,user_id
9,9,5e94e5dbe55dd0f9169ca4f9,"we use information collected from cookies and other technologies, like pixel tags, to improve your user experience and the overall quality of our services. one of the products we use to do this on our own services is google analytics. for example, by saving your language preferences, we’ll be able to have our services appear in the language your application prefer. when showing you tailored ads, we will not associate an identifier from cookies or similar technologies with sensitive categories, such as those based on race, religion, sexual orientation or health.","['monitor/audit', 'changes to service']",1,1,0,1,0,0,0,1.0,1.0,I321911
9,9,5e94e5dbe55dd0f9169ca4f9,"we use information collected from cookies and other technologies, like pixel tags, to improve your user experience and the overall quality of our services. one of the products we use to do this on our own services is google analytics. for example, by saving your language preferences, we’ll be able to have our services appear in the language your implementation prefer. when showing you tailored ads, we will not associate an identifier from cookies or similar technologies with sensitive categories, such as those based on race, religion, sexual orientation or health.","['monitor/audit', 'changes to service']",1,1,0,1,0,0,0,1.0,1.0,I321911
9,9,5e94e5dbe55dd0f9169ca4f9,"we use information collected from cookies and other technologies, like pixel tags, to improve your user experience and the overall quality of our services. one of the products we use to do this on our own services is google developers analytics. for example, by saving your language preferences, we’ll be able to have our services appear in the language you prefer. when showing you tailored ads, we will not associate an identifier from cookies or similar technologies with sensitive categories, such as those based on race, religion, sexual orientation or health.","['monitor/audit', 'changes to service']",1,1,0,1,0,0,0,1.0,1.0,I321911
10,10,5e94e5dbe55dd0f9169ca4fa,"Microsoft collects data to operate effectively and provide you the best experiences with our products. You provide some of this data directly, such as when you create a Microsoft account, administer your organization’s licensing account, submit a search query to Bing, register for a Microsoft event, speak a voice command to Cortana, upload a document to OneDrive, purchase an MSDN subscription, sign up for Office 365, or contact us for support. We get some of it by recording how you interact with our products by, for example, using technologies like cookies, and receiving error reports or usage data from software running on your device. We also obtain data from third parties.","['monitor/audit', 'privacy/data protection']",0,0,0,0,0,0,0,1.0,1.0,I831094
10,10,5e94e5dbe55dd0f9169ca4fa,"microsoft collects data to operate effectively and provide your application the best experiences with our products. you provide some of this data directly, such as when you create a microsoft account, administer your organization’s licensing account, submit a search query to bing, register for a microsoft event, speak a voice command to cortana, upload a document to onedrive, purchase an msdn subscription, sign up for office 365, or contact us for support. we get some of it by recording how you interact with our products by, for example, using technologies like cookies, and receiving error reports or usage data from software running on your device. we also obtain data from third parties.","['monitor/audit', 'privacy/data protection']",0,1,0,1,0,0,0,1.0,1.0,I831094
10,10,5e94e5dbe55dd0f9169ca4fa,"microsoft collects data to operate effectively and provide your implementation the best experiences with our products. you provide some of this data directly, such as when you create a microsoft account, administer your organization’s licensing account, submit a search query to bing, register for a microsoft event, speak a voice command to cortana, upload a document to onedrive, purchase an msdn subscription, sign up for office 365, or contact us for support. we get some of it by recording how you interact with our products by, for example, using technologies like cookies, and receiving error reports or usage data from software running on your device. we also obtain data from third parties.","['monitor/audit', 'privacy/data protection']",0,1,0,1,0,0,0,1.0,1.0,I831094
11,11,5e94e5dbe55dd0f9169ca4fb,"Microsoft uses the data we collect to operate our business and provide you the products we offer, which includes using data to improve our products and personalize your experiences. We also may use the data to communicate with you, for example, informing you about your account, security updates and product information. And we use data to help show more relevant ads, whether in our own products supported by advertising like MSN and Bing, or in products offered by third parties. However, we do not use what you say in email, chat, video calls or voice mail, or your documents, photos or other personal files to target ads to you.","['monitor/audit', 'privacy/data protection']",0,0,0,0,1,0,0,1.0,1.0,I830949
11,11,5e94e5dbe55dd0f9169ca4fb,"microsoft uses the data we collect to operate our business and provide your application the products we offer, which includes using data to improve our products and personalize your experiences. we also may use the data to communicate with you, for example, informing you about your account, security updates and product information. and we use data to help show more relevant ads, whether in our own products supported by advertising like msn and bing, or in products offered by third parties. however, we do not use what you say in email, chat, video calls or voice mail, or your documents, photos or other personal files to target ads to you.","['monitor/audit', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
11,11,5e94e5dbe55dd0f9169ca4fb,"microsoft uses the data we collect to operate our business and provide your implementation the products we offer, which includes using data to improve our products and personalize your experiences. we also may use the data to communicate with you, for example, informing you about your account, security updates and product information. and we use data to help show more relevant ads, whether in our own products supported by advertising like msn and bing, or in products offered by third parties. however, we do not use what you say in email, chat, video calls or voice mail, or your documents, photos or other personal files to target ads to you.","['monitor/audit', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
12,12,5e94e5dbe55dd0f9169ca4fc,"Microsoft uses cookies (small text files placed on your device) and similar technologies to provide our websites and online services and to help collect data. Cookies allow us, among other things, to store your preferences and settings; enable you to sign-in; provide interest-based advertising; combat fraud; and analyze how our websites and online services are performing. Microsoft apps use other identifiers, such as the advertising ID in Windows described in the Windows section of this statement, for similar purposes.","['monitor/audit', 'privacy/data protection']",0,0,0,0,0,0,0,1.0,1.0,I831094
12,12,5e94e5dbe55dd0f9169ca4fc,"microsoft uses cookies (small text files placed on your device) and similar technologies to provide our websites and online services and to help collect data. cookies allow us, among other things, to store your preferences and settings; enable your application to sign-in; provide interest-based advertising; combat fraud; and analyze how our websites and online services are performing. microsoft apps use other identifiers, such as the advertising id in windows described in the windows section of this statement, for similar purposes.","['monitor/audit', 'privacy/data protection']",0,1,0,1,0,0,0,1.0,1.0,I831094
12,12,5e94e5dbe55dd0f9169ca4fc,"microsoft uses cookies (small text files placed on your device) and similar technologies to provide our websites and online services and to help collect data. cookies allow us, among other things, to store your preferences and settings; enable your implementation to sign-in; provide interest-based advertising; combat fraud; and analyze how our websites and online services are performing. microsoft apps use other identifiers, such as the advertising id in windows described in the windows section of this statement, for similar purposes.","['monitor/audit', 'privacy/data protection']",0,1,0,1,0,0,0,1.0,1.0,I831094
13,13,5e94e5dbe55dd0f9169ca4fd,"Microsoft reserves the right to update the TOU at any time without notice to you. The most current version of the TOU can be reviewed by clicking on the ""Terms of Use"" hypertext link located at the bottom of our Web pages.","['changes to terms', 'technical requirements', 'consent']",1,0,0,1,0,0,0,1.0,1.0,I321911
14,14,5e94e5dbe55dd0f9169ca4fe,"Unless otherwise specified, the Services are for your personal and non-commercial use. You may not modify, copy, distribute, transmit, display, perform, reproduce, publish, license, create derivative works from, transfer, or sell any information, software, products or services obtained from the Services.","['usage limits', 'payment', 'general requirements', 'technical requirements']",0,0,0,1,1,0,0,1.0,1.0,I321911
14,14,5e94e5dbe55dd0f9169ca4fe,"unless otherwise specified, the services are for your personal and non-commercial use. your application may not modify, copy, distribute, transmit, display, perform, reproduce, publish, license, create derivative works from, transfer, or sell any information, software, products or services obtained from the services.","['usage limits', 'payment', 'general requirements', 'technical requirements']",0,1,0,1,1,0,0,1.0,1.0,I321911
14,14,5e94e5dbe55dd0f9169ca4fe,"unless otherwise specified, the services are for your personal and non-commercial use. your implementation may not modify, copy, distribute, transmit, display, perform, reproduce, publish, license, create derivative works from, transfer, or sell any information, software, products or services obtained from the services.","['usage limits', 'payment', 'general requirements', 'technical requirements']",0,1,0,1,1,0,0,1.0,1.0,I321911
15,15,5e94e5dbe55dd0f9169ca4ff,"MICROSOFT AND/OR ITS RESPECTIVE SUPPLIERS MAKE NO REPRESENTATIONS ABOUT THE SUITABILITY OF THE INFORMATION CONTAINED IN THE DOCUMENTS AND RELATED GRAPHICS PUBLISHED AS PART OF THE SERVICES FOR ANY PURPOSE. ALL SUCH DOCUMENTS AND RELATED GRAPHICS ARE PROVIDED ""AS IS"" WITHOUT WARRANTY OF ANY KIND. MICROSOFT AND/OR ITS RESPECTIVE SUPPLIERS HEREBY DISCLAIM ALL WARRANTIES AND CONDITIONS WITH REGARD TO THIS INFORMATION, INCLUDING ALL WARRANTIES AND CONDITIONS OF MERCHANTABILITY, WHETHER EXPRESS, IMPLIED OR STATUTORY, FITNESS FOR A PARTICULAR PURPOSE, TITLE AND NON-INFRINGEMENT. IN NO EVENT SHALL MICROSOFT AND/OR ITS RESPECTIVE SUPPLIERS BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE OR OTHER TORTIOUS ACTION, ARISING OUT OF OR IN CONNECTION WITH THE USE OR PERFORMANCE OF INFORMATION AVAILABLE FROM THE SERVICES.","['as-is and as-available', 'liability']",0,0,0,0,0,0,0,1.0,1.0,I831094
16,16,5e94e5dbe55dd0f9169ca500,"By accessing or using the Microsoft Graph API, including within a software application, website, tool, or product you create or a service you offer (your “Application”), you are agreeing to these terms and to comply with any accompanying documentation that applies to your use of the Graph API (“API Terms”) with Microsoft Corporation (“Microsoft”, “we”, “us”, or “our”). You represent and warrant to us that you have the authority to accept these API Terms on behalf of yourself, a company, and/or other entity, as applicable. We may change, amend or terminate these API Terms at any time. Your use of the Graph API after any change or amendment means you agree to the new API Terms. If you do not agree to the new API Terms or if we terminate these API Terms, you must stop using the Graph API.","['technical requirements', 'informed consent', 'changes to terms', 'termination/suspension']",0,1,0,1,0,0,0,1.0,1.0,I321911
17,17,5e94e5dbe55dd0f9169ca501,"Request from the Graph API more than the minimum amount of data, or more than the minimum permissions to the types of data, that your Application needs for Customers to use the intended functionality of your Application;",['usage limits'],0,0,0,0,1,0,0,0.0,1.0,
18,18,5e94e5dbe55dd0f9169ca502,"Use Graph API in any manner that works around any technical limitations of the Graph API or of the accessed Microsoft Offering, or reverse engineer, decompile or disassemble the Graph API, except and only to the extent that applicable law expressly permits, despite this limitation;",['technical requirements'],0,1,0,1,0,0,0,1.0,1.0,I830949
19,19,5e94e5dbe55dd0f9169ca503,"Such changes may include, without limitation, removing or limiting access to specific API(s), requiring fees or setting and enforcing limits on your use of additions to the Graph API. We may also impose limits on certain features and services or restrict your access to some or all of the Graph API. We may release subsequent versions of the Graph API and require that you use those subsequent versions, at your sole cost and expense.","['changes to service', 'usage limits', 'termination/suspension']",0,0,0,0,1,0,0,0.0,1.0,
19,19,5e94e5dbe55dd0f9169ca503,"such changes may include, without limitation, removing or limiting access to specific api(s), requiring fees or setting and enforcing limits on your use of additions to the graph api. we may also impose limits on certain features and services or restrict your access to some or all of the graph api. we may release subsequent versions of the graph api and require that your application use those subsequent versions, at your sole cost and expense.","['changes to service', 'usage limits', 'termination/suspension']",0,1,0,1,1,0,0,1.0,1.0,
19,19,5e94e5dbe55dd0f9169ca503,"such changes may include, without limitation, removing or limiting access to specific api(s), requiring fees or setting and enforcing limits on your use of additions to the graph api. we may also impose limits on certain features and services or restrict your access to some or all of the graph api. we may release subsequent versions of the graph api and require that your implementation use those subsequent versions, at your sole cost and expense.","['changes to service', 'usage limits', 'termination/suspension']",0,1,0,1,1,0,0,1.0,1.0,
20,20,5e94e5dbe55dd0f9169ca504,"WE MAKE NO WARRANTIES, EXPRESS OR IMPLIED, GUARANTEES OR CONDITIONS WITH RESPECT TO YOUR USE OF THE GRAPH API. YOU UNDERSTAND THAT USE OF THE GRAPH API IS AT YOUR OWN RISK AND THAT WE PROVIDE THE GRAPH API ON AN “AS IS” BASIS “WITH ALL FAULTS” AND ""AS AVAILABLE."" TO THE EXTENT PERMITTED UNDER YOUR LOCAL LAW, WE EXCLUDE ANY IMPLIED WARRANTIES, INCLUDING FOR MERCHANTABILITY, SATISFACTORY QUALITY, FITNESS FOR A PARTICULAR PURPOSE, WORKMANLIKE EFFORT, AND NON-INFRINGEMENT. YOU MAY HAVE CERTAIN RIGHTS UNDER YOUR LOCAL LAW. NOTHING IN THESE API TERMS ARE INTENDED TO AFFECT THOSE RIGHTS, IF THEY ARE APPLICABLE. WE DO NOT GUARANTEE THE GRAPH API WILL FUNCTION WITHOUT INTERRUPTION OR ERRORS IN FUNCTIONING. IN PARTICULAR, THE OPERATION OF THE GRAPH API MAY BE INTERRUPTED DUE TO MAINTENANCE, UPDATES, OR SYSTEM OR NETWORK FAILURES. WE DISCLAIM ALL LIABILITY FOR DAMAGES CAUSED BY ANY SUCH INTERRUPTION, ERRORS IN FUNCTIONING, OR THAT DATA LOSS WILL NOT OCCUR.",['as-is and as-available'],1,0,0,0,0,0,0,0.0,1.0,
20,20,5e94e5dbe55dd0f9169ca504,"we make no warranties, express or implied, guarantees or conditions with respect to your use of the graph api. your application understand that use of the graph api is at your own risk and that we provide the graph api on an “as is” basis “with all faults” and ""as available."" to the extent permitted under your local law, we exclude any implied warranties, including for merchantability, satisfactory quality, fitness for a particular purpose, workmanlike effort, and non-infringement. you may have certain rights under your local law. nothing in these api terms are intended to affect those rights, if they are applicable. we do not guarantee the graph api will function without interruption or errors in functioning. in particular, the operation of the graph api may be interrupted due to maintenance, updates, or system or network failures. we disclaim all liability for damages caused by any such interruption, errors in functioning, or that data loss will not occur.",['as-is and as-available'],1,1,0,1,0,0,0,1.0,1.0,
20,20,5e94e5dbe55dd0f9169ca504,"we make no warranties, express or implied, guarantees or conditions with respect to your use of the graph api. your implementation understand that use of the graph api is at your own risk and that we provide the graph api on an “as is” basis “with all faults” and ""as available."" to the extent permitted under your local law, we exclude any implied warranties, including for merchantability, satisfactory quality, fitness for a particular purpose, workmanlike effort, and non-infringement. you may have certain rights under your local law. nothing in these api terms are intended to affect those rights, if they are applicable. we do not guarantee the graph api will function without interruption or errors in functioning. in particular, the operation of the graph api may be interrupted due to maintenance, updates, or system or network failures. we disclaim all liability for damages caused by any such interruption, errors in functioning, or that data loss will not occur.",['as-is and as-available'],1,1,0,1,0,0,0,1.0,1.0,
21,21,5e94e5dbe55dd0f9169ca505,"You agree that by clicking “Join Now”, “Join LinkedIn”, “Sign Up” or similar, registering, accessing or using our services (described below), you are agreeing to enter into a legally binding contract with LinkedIn (even if you are using our Services on behalf of a company). If you do not agree to this contract (“Contract” or “User Agreement”), do not click “Join Now” (or similar) and do not access or otherwise use any of our Services.",[],0,1,0,0,0,0,0,1.0,0.0,I830949
22,22,5e94e5dbe55dd0f9169ca506,"If you buy any of our paid Services (“Premium Services”), you agree to pay us the applicable fees and taxes and to additional terms specific to the paid Services. ",['payment'],0,0,0,0,1,0,0,1.0,1.0,I831094
22,22,5e94e5dbe55dd0f9169ca506,"if your application buy any of our paid services (“premium services”), you agree to pay us the applicable fees and taxes and to additional terms specific to the paid services. ",['payment'],0,1,0,1,1,0,0,1.0,1.0,I831094
22,22,5e94e5dbe55dd0f9169ca506,"if your implementation buy any of our paid services (“premium services”), you agree to pay us the applicable fees and taxes and to additional terms specific to the paid services. ",['payment'],0,1,0,1,1,0,0,1.0,1.0,I831094
23,23,5e94e5dbe55dd0f9169ca507,Your purchase may be subject to foreign exchange fees or differences in prices based on location (e.g. exchange rates).,['payment'],0,0,0,0,1,0,0,1.0,0.0,I830949
24,24,5e94e5dbe55dd0f9169ca508,"We may store and continue billing your payment method (e.g. credit card) even after it has expired, to avoid interruptions in your Services and to use to pay other Services you may buy.","['payment', 'privacy/data protection']",0,0,0,0,1,0,0,1.0,1.0,I830949
24,24,5e94e5dbe55dd0f9169ca508,"we may store and continue billing your payment method (e.g. credit card) even after it has expired, to avoid interruptions in your services and to use to pay other services your application may buy.","['payment', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
24,24,5e94e5dbe55dd0f9169ca508,"we may store and continue billing your payment method (e.g. credit card) even after it has expired, to avoid interruptions in your services and to use to pay other services your implementation may buy.","['payment', 'privacy/data protection']",0,1,0,1,1,0,0,1.0,1.0,I830949
25,25,5e94e5dbe55dd0f9169ca509,"If you purchase a subscription, your payment method automatically will be charged at the start of each subscription period for the fees and taxes applicable to that period. To avoid future charges, cancel before the renewal date. Learn how to cancel or suspend your Premium Services.","['payment', 'pass-thru terms/customer account', 'termination/suspension']",0,0,0,0,1,0,1,1.0,1.0,I321911
25,25,5e94e5dbe55dd0f9169ca509,"if your application purchase a subscription, your payment method automatically will be charged at the start of each subscription period for the fees and taxes applicable to that period. to avoid future charges, cancel before the renewal date. learn how to cancel or suspend your premium services.","['payment', 'pass-thru terms/customer account', 'termination/suspension']",0,1,0,1,1,0,1,1.0,1.0,I321911
25,25,5e94e5dbe55dd0f9169ca509,"if your implementation purchase a subscription, your payment method automatically will be charged at the start of each subscription period for the fees and taxes applicable to that period. to avoid future charges, cancel before the renewal date. learn how to cancel or suspend your premium services.","['payment', 'pass-thru terms/customer account', 'termination/suspension']",0,1,0,1,1,0,1,1.0,1.0,I321911
26,26,5e94e5dbe55dd0f9169ca50a,All of your purchases of Services are subject to LinkedIn’s refund policy.,['payment'],0,0,0,0,1,0,0,1.0,0.0,I830949
27,27,5e94e5dbe55dd0f9169ca50b,We may calculate taxes payable by you based on the billing information that you provide us at the time of purchase,['payment'],0,0,0,0,1,0,0,1.0,1.0,I831094
27,27,5e94e5dbe55dd0f9169ca50b,we may calculate taxes payable by your application based on the billing information that you provide us at the time of purchase,['payment'],0,1,0,1,1,0,0,1.0,1.0,I831094
27,27,5e94e5dbe55dd0f9169ca50b,we may calculate taxes payable by your implementation based on the billing information that you provide us at the time of purchase,['payment'],0,1,0,1,1,0,0,1.0,1.0,I831094
28,28,5e94e5dbe55dd0f9169ca50c,"As between you and LinkedIn, you own the content and information that you submit or post to the Services and you are only granting LinkedIn and our affiliates the following non-exclusive license: A worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish, and process, information and content that you provide through our Services, without any further consent, notice and/or compensation to you or others.",['use/modification of sap content'],0,0,0,0,0,1,0,1.0,1.0,I831094
28,28,5e94e5dbe55dd0f9169ca50c,"as between your application and linkedin, you own the content and information that you submit or post to the services and you are only granting linkedin and our affiliates the following non-exclusive license: a worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish, and process, information and content that you provide through our services, without any further consent, notice and/or compensation to you or others.",['use/modification of sap content'],0,1,0,1,0,1,0,1.0,1.0,I831094
28,28,5e94e5dbe55dd0f9169ca50c,"as between your implementation and linkedin, you own the content and information that you submit or post to the services and you are only granting linkedin and our affiliates the following non-exclusive license: a worldwide, transferable and sublicensable right to use, copy, modify, distribute, publish, and process, information and content that you provide through our services, without any further consent, notice and/or compensation to you or others.",['use/modification of sap content'],0,1,0,1,0,1,0,1.0,1.0,I831094
29,29,5e94e5dbe55dd0f9169ca50d,"We will get your consent if we want to give third parties the right to publish your posts beyond the Service. However, other Members and/or Visitors may access and share your content and information, consistent with your choices.","['informed consent', 'data management and usage', 'privacy/data protection']",0,0,0,1,0,0,0,1.0,1.0,I321911
30,30,5e94e5dbe55dd0f9169ca50e,"Because you own your content and information and we only have non-exclusive rights to it, you may choose to make it available to others, including under the terms of a Creative Commons license.",['use/modification of sap content'],0,0,0,0,0,1,0,1.0,1.0,I831094
30,30,5e94e5dbe55dd0f9169ca50e,"because your application own your content and information and we only have non-exclusive rights to it, you may choose to make it available to others, including under the terms of a creative commons license.",['use/modification of sap content'],0,1,0,1,0,1,0,1.0,1.0,I831094
30,30,5e94e5dbe55dd0f9169ca50e,"because your implementation own your content and information and we only have non-exclusive rights to it, you may choose to make it available to others, including under the terms of a creative commons license.",['use/modification of sap content'],0,1,0,1,0,1,0,1.0,1.0,I831094
31,31,5e94e5dbe55dd0f9169ca50f,We may change or discontinue any of our Services. We don’t promise to store or keep showing any information and content that you’ve posted.,"['use/modification of sap content', 'changes to service', 'termination/suspension']",0,0,0,0,0,1,0,1.0,1.0,I831094
32,32,5e94e5dbe55dd0f9169ca510,"LinkedIn is not a storage service. You agree that we have no obligation to store, maintain or provide you a copy of any content or information that you or others provide, except to the extent required by applicable law and as noted in our Privacy Policy.","['data management and usage', 'data security standards', 'privacy/data protection']",1,0,0,0,0,1,0,1.0,1.0,I321911
32,32,5e94e5dbe55dd0f9169ca510,"linkedin is not a storage service. your application agree that we have no obligation to store, maintain or provide you a copy of any content or information that you or others provide, except to the extent required by applicable law and as noted in our privacy policy.","['data management and usage', 'data security standards', 'privacy/data protection']",1,1,0,1,0,1,0,1.0,1.0,I321911
32,32,5e94e5dbe55dd0f9169ca510,"linkedin is not a storage service. your implementation agree that we have no obligation to store, maintain or provide you a copy of any content or information that you or others provide, except to the extent required by applicable law and as noted in our privacy policy.","['data management and usage', 'data security standards', 'privacy/data protection']",1,1,0,1,0,1,0,1.0,1.0,I321911
33,33,5e94e5dbe55dd0f9169ca511,"By using the Services, you may encounter content or information that might be inaccurate, incomplete, delayed, misleading, illegal, offensive or otherwise harmful. LinkedIn generally does not review content provided by our Members or others. You agree that we are not responsible for others’ (including other Members’) content or information. We cannot always prevent this misuse of our services, and you agree that we are not responsible for any such misuse. You also acknowledge the risk that you or your organization may be mistakenly associated with content about others when we let connections and followers know you or your organization were mentioned in the news.","['liability', 'consent', 'publicity']",0,0,0,0,1,1,0,1.0,1.0,I321911
33,33,5e94e5dbe55dd0f9169ca511,"by using the services, your application may encounter content or information that might be inaccurate, incomplete, delayed, misleading, illegal, offensive or otherwise harmful. linkedin generally does not review content provided by our members or others. you agree that we are not responsible for others’ (including other members’) content or information. we cannot always prevent this misuse of our services, and you agree that we are not responsible for any such misuse. you also acknowledge the risk that you or your organization may be mistakenly associated with content about others when we let connections and followers know you or your organization were mentioned in the news.","['liability', 'consent', 'publicity']",0,1,0,1,1,1,0,1.0,1.0,I321911
33,33,5e94e5dbe55dd0f9169ca511,"by using the services, your implementation may encounter content or information that might be inaccurate, incomplete, delayed, misleading, illegal, offensive or otherwise harmful. linkedin generally does not review content provided by our members or others. you agree that we are not responsible for others’ (including other members’) content or information. we cannot always prevent this misuse of our services, and you agree that we are not responsible for any such misuse. you also acknowledge the risk that you or your organization may be mistakenly associated with content about others when we let connections and followers know you or your organization were mentioned in the news.","['liability', 'consent', 'publicity']",0,1,0,1,1,1,0,1.0,1.0,I321911
